best_x,best_y,best_z,iters,n_particle,v_max,inertia_w,accel_c1,accel_c2
-0.089759,0.712621,-1.031628,64,25,1.600000,0.700000,1.500000,1.500000
-0.089828,0.712627,-1.031628,54,25,1.700000,0.700000,1.500000,1.500000
-0.089852,0.712668,-1.031628,60,25,1.800000,0.700000,1.500000,1.500000
-0.089843,0.712631,-1.031628,60,25,1.900000,0.700000,1.500000,1.500000
-0.089882,0.712677,-1.031628,61,25,2.000000,0.700000,1.500000,1.500000
0.089825,-0.712647,-1.031628,65,25,2.100000,0.700000,1.500000,1.500000
0.089848,-0.712748,-1.031628,54,25,2.200000,0.700000,1.500000,1.500000
0.089879,-0.712625,-1.031628,57,25,2.300000,0.700000,1.500000,1.500000
0.089794,-0.712695,-1.031628,54,25,2.400000,0.700000,1.500000,1.500000
0.089793,-0.712673,-1.031628,65,25,2.500000,0.700000,1.500000,1.500000
0.089841,-0.712650,-1.031628,68,25,2.600000,0.700000,1.500000,1.500000
-0.089849,0.712654,-1.031628,63,25,2.700000,0.700000,1.500000,1.500000
0.089860,-0.712705,-1.031628,62,25,2.800000,0.700000,1.500000,1.500000
0.089830,-0.712637,-1.031628,64,25,2.900000,0.700000,1.500000,1.500000
0.089822,-0.712622,-1.031628,57,25,3.000000,0.700000,1.500000,1.500000
0.089836,-0.712647,-1.031628,68,25,3.100000,0.700000,1.500000,1.500000
0.089834,-0.712662,-1.031628,68,25,3.200000,0.700000,1.500000,1.500000
0.089822,-0.712666,-1.031628,69,25,3.300000,0.700000,1.500000,1.500000
0.089862,-0.712681,-1.031628,66,25,3.400000,0.700000,1.500000,1.500000
0.089823,-0.712623,-1.031628,51,25,3.500000,0.700000,1.500000,1.500000
0.089842,-0.712653,-1.031628,67,25,3.600000,0.700000,1.500000,1.500000
0.089841,-0.712658,-1.031628,72,25,3.700000,0.700000,1.500000,1.500000
0.089863,-0.712663,-1.031628,64,25,3.800000,0.700000,1.500000,1.500000
0.089885,-0.712674,-1.031628,69,25,3.900000,0.700000,1.500000,1.500000
0.089731,-0.712502,-1.031628,56,25,4.000000,0.700000,1.500000,1.500000
